M:\self driving car\IMG\center_2020_10_29_19_08_02_103.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_103.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_103.jpg, 0, 0, 0, 8.121258E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_206.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_206.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_206.jpg, 0, 0, 0, 7.750079E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_310.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_310.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_310.jpg, 0, 0, 0, 7.775857E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_413.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_413.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_413.jpg, 0, 0, 0, 8.05368E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_514.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_514.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_514.jpg, 0, 0, 0, 8.198372E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_615.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_615.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_615.jpg, 0, 0, 0, 8.415038E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_716.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_716.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_716.jpg, 0, 0, 0, 7.98011E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_816.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_816.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_816.jpg, 0, 0, 0, 8.174961E-05
M:\self driving car\IMG\center_2020_10_29_19_08_02_917.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_02_917.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_02_917.jpg, 0, 0, 0, 8.06817E-05
M:\self driving car\IMG\center_2020_10_29_19_08_03_019.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_03_019.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_03_019.jpg, 0, 0, 0, 7.887062E-05
M:\self driving car\IMG\center_2020_10_29_19_08_03_122.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_03_122.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_03_122.jpg, 0, 0, 0, 7.773539E-05
M:\self driving car\IMG\center_2020_10_29_19_08_03_227.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_03_227.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_03_227.jpg, 0, 0, 0, 7.764592E-05
M:\self driving car\IMG\center_2020_10_29_19_08_03_346.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_03_346.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_03_346.jpg, 0, 0, 0, 7.817458E-05
M:\self driving car\IMG\center_2020_10_29_19_08_03_447.jpg, M:\self driving car\IMG\left_2020_10_29_19_08_03_447.jpg, M:\self driving car\IMG\right_2020_10_29_19_08_03_447.jpg, 0, 0, 0, 7.813378E-05
